deviceSerialNumber,taskId,unloadEnd,startTime,endTime,posExist,copyTime,preprocessTime,recognizeTime,renderTime,transfer2RemoteTime,computeRemoteTime,transfer2LocalTime,transTime,allTime
Y2M4WF,4,REMOTE,1726627019011,1726627019350,1,54,0,0,2,-70,92,261,191,339
Y2M4WF,5,REMOTE,1726627019508,1726627019811,1,54,0,0,1,-56,76,227,171,303
Y2M4WF,6,REMOTE,1726627020275,1726627021019,1,59,0,0,1,246,87,350,596,744
Y2M4WF,7,REMOTE,1726627020809,1726627021252,1,61,0,0,1,76,86,219,295,443
Y2M4WF,8,REMOTE,1726627021574,1726627021863,1,63,0,0,1,-77,86,215,138,289
Y2M4WF,9,REMOTE,1726627022074,1726627022455,1,66,0,0,1,-1,88,226,225,381
Y2M4WF,10,REMOTE,1726627022806,1726627023193,1,59,0,0,1,-7,99,234,227,387
Y2M4WF,11,REMOTE,1726627023340,1726627023691,1,60,0,0,1,-6,86,209,203,351
Y2M4WF,12,REMOTE,1726627024107,1726627024479,1,67,0,0,1,10,87,206,216,372
Y2M4WF,13,REMOTE,1726627024604,1726627024927,1,62,0,0,2,-38,87,209,171,323
Y2M4WF,14,REMOTE,1726627025372,1726627025799,1,62,0,0,1,65,86,213,278,427
Y2M4WF,15,REMOTE,1726627025871,1726627026303,0,63,0,0,1,72,68,228,300,432
Y2M4WF,16,REMOTE,1726627026636,1726627026947,1,60,0,0,2,-51,86,213,162,311
Y2M4WF,17,REMOTE,1726627027137,1726627027467,1,63,0,0,1,-50,88,228,178,330
Y2M4WF,18,REMOTE,1726627027900,1726627028207,1,61,0,0,1,-53,89,209,156,307
Y2M4WF,19,REMOTE,1726627028401,1726627028777,1,60,0,0,1,-5,84,235,230,376
Y2M4WF,20,REMOTE,1726627029167,1726627029629,1,60,0,0,1,90,88,223,313,462
Y2M4WF,21,REMOTE,1726627029665,1726627030017,1,60,0,0,1,-11,85,216,205,352
Y2M4WF,22,REMOTE,1726627030432,1726627030714,1,59,0,0,1,-74,85,211,137,282
Y2M4WF,23,REMOTE,1726627030933,1726627031255,1,61,0,0,1,-39,88,210,171,322
Y2M4WF,24,REMOTE,1726627031699,1726627031984,1,62,0,0,2,-73,86,208,135,285
Y2M4WF,25,REMOTE,1726627032198,1726627032480,1,60,0,0,1,-76,87,208,132,282
Y2M4WF,26,REMOTE,1726627032963,1726627033297,1,60,0,0,1,-23,87,208,185,334
Y2M4WF,27,REMOTE,1726627033469,1726627033811,1,60,0,0,1,-15,87,208,193,342
Y2M4WF,28,REMOTE,1726627034268,1726627034532,1,60,0,0,1,-92,86,209,117,264
Y2M4WF,29,REMOTE,1726627034769,1726627035119,1,59,0,0,1,-13,87,215,202,350
Y2M4WF,30,REMOTE,1726627035534,1726627035856,1,61,0,0,2,-40,87,211,171,322
Y2M4WF,31,REMOTE,1726627036033,1726627036381,1,60,0,0,1,-11,88,208,197,348
Y2M4WF,32,REMOTE,1726627036798,1726627037103,1,59,0,0,1,-54,89,210,156,305
Y2M4WF,33,REMOTE,1726627037299,1726627037605,1,60,0,0,2,-53,86,210,157,306
Y2M4WF,34,REMOTE,1726627038066,1726627038398,1,58,0,0,1,-93,87,277,184,332
Y2M4WF,35,REMOTE,1726627038565,1726627038841,1,60,0,0,1,-85,89,210,125,276
Y2M4WF,36,REMOTE,1726627039329,1726627039664,1,61,0,0,1,-25,87,210,185,335
Y2M4WF,37,REMOTE,1726627039829,1726627040139,1,60,0,0,1,-49,88,209,160,310
Y2M4WF,38,REMOTE,1726627040598,1726627040878,1,59,0,0,1,-76,86,209,133,280
Y2M4WF,39,REMOTE,1726627041129,1726627041411,1,64,0,0,1,-81,88,210,129,282
Y2M4WF,40,REMOTE,1726627041895,1726627042136,1,61,0,0,2,-121,89,210,89,241
Y2M4WF,41,REMOTE,1726627042394,1726627042723,1,67,0,0,2,-39,88,210,171,329
Y2M4WF,42,REMOTE,1726627043159,1726627043421,1,59,0,0,3,-93,84,208,115,262
Y2M4WF,43,REMOTE,1726627043661,1726627043947,1,68,0,0,1,-82,85,213,131,286
Y2M4WF,44,REMOTE,1726627044425,1726627044748,0,66,0,0,1,-20,65,210,190,323
Y2M4WF,45,REMOTE,1726627044926,1726627045186,1,65,0,0,1,-104,87,210,106,260
Y2M4WF,46,REMOTE,1726627045690,1726627045918,1,65,0,0,1,-134,86,209,75,228
Y2M4WF,47,REMOTE,1726627046191,1726627046616,1,68,0,0,1,-33,84,303,270,425
